sector,year,total_emissions,co2,ch4,n2o,facility_count
Chemicals,2010,104113078.23,92548396.7,141861.75,11422819.78,340
Chemicals,2011,83932261.788,77467904.5,116024.25,6348333.038,337
Chemicals,2012,80346091.378,74667680.5,133834.5,5544576.378,341
Chemicals,2013,85406928.938,80956141.8,139932.25,4310854.888,347
Chemicals,2014,89867912.8,84106473.4,231960.0,5529479.4,340
Chemicals,2015,93302875.296,87762588.5,173522.25,5366764.546,341
Chemicals,2016,99004543.606,93294312.27,145340.0,5564891.336,330
Chemicals,2017,100882661.586,95738099.2,219447.25,4925115.136,332
Chemicals,2018,105027635.428,99751058.4,223685.75,5052891.278,334
Chemicals,2019,107237904.7192,101354866.6,182967.0,5700070.394,331
Chemicals,2020,105035693.476,99174506.3,210448.0,5650739.176,331
Chemicals,2021,109510395.062,103730207.4,244161.5,5536026.1620000005,340
Chemicals,2022,112158443.94600001,106339798.2,255417.25,5563228.496,341
Chemicals,2023,113059022.734,107442104.1,227549.0,5389369.634000001,341
"Chemicals,Coal-based Liquid Fuel Supply,Suppliers of CO2",2012,2858253.856,2858173.3,36.75,43.806,1
"Chemicals,Coal-based Liquid Fuel Supply,Suppliers of CO2",2013,2123868.34,2123766.0,41.25,61.09,1
"Chemicals,Coal-based Liquid Fuel Supply,Suppliers of CO2",2014,1246360.4,1246360.4,0.0,0.0,1
"Chemicals,Coal-based Liquid Fuel Supply,Suppliers of CO2",2015,2882904.742,2882744.3,47.5,112.942,1
"Chemicals,Coal-based Liquid Fuel Supply,Suppliers of CO2",2016,3326537.68,3326353.8,54.25,129.63,1
"Chemicals,Coal-based Liquid Fuel Supply,Suppliers of CO2",2017,3234852.898,3234418.9,128.25,305.748,1
"Chemicals,Coal-based Liquid Fuel Supply,Suppliers of CO2",2018,4082335.7,4082335.7,0.0,0.0,1
"Chemicals,Coal-based Liquid Fuel Supply,Suppliers of CO2",2019,3137752.8,3137752.8,0.0,0.0,1
"Chemicals,Coal-based Liquid Fuel Supply,Suppliers of CO2",2020,3230507.3,3230507.3,0.0,0.0,1
"Chemicals,Coal-based Liquid Fuel Supply,Suppliers of CO2",2021,3523412.1,3523412.1,0.0,0.0,1
"Chemicals,Coal-based Liquid Fuel Supply,Suppliers of CO2",2022,3339679.4,3339679.4,0.0,0.0,1
"Chemicals,Coal-based Liquid Fuel Supply,Suppliers of CO2",2023,2873469.1,2873469.1,0.0,0.0,1
"Chemicals,Industrial Gas Suppliers",2010,8792988.036,754914.2000000001,1118.25,2204.306,12
"Chemicals,Industrial Gas Suppliers",2011,10512944.435790349,787329.5,1156.5,1947.43,14
"Chemicals,Industrial Gas Suppliers",2012,10227925.1442306,763931.6,1056.75,1816.906,15
"Chemicals,Industrial Gas Suppliers",2013,8254464.1130842,777567.2000000001,1110.0,1845.216,15
"Chemicals,Industrial Gas Suppliers",2014,5925248.6999111995,797341.2000000001,1122.5,1824.952,14
"Chemicals,Industrial Gas Suppliers",2015,5374365.10467,743326.6,1134.75,1862.5,13
