state,year,total_emissions,co2,ch4,n2o,facility_count
AK,2010,17544758.662,16920821.7,605872.5,18064.462,64
AK,2011,18789803.038,17909535.3,861857.0,18410.738,67
AK,2012,19033119.546321,18072899.186708998,940569.11645,19651.243162,68
AK,2013,18783388.96,17691046.9,1073465.25,18876.81,69
AK,2014,18190225.851999998,17162636.7,1009143.25,18445.902,73
AK,2015,18532505.338,17558982.3,954374.75,19148.288,74
AK,2016,15003771.362,14018183.5,969371.0,16216.862000000001,65
AK,2017,15195128.524,14148148.5,1030608.5,16371.524,64
AK,2018,14230830.175999999,13667803.5,546573.5,16453.176,62
AK,2019,14324145.772,13730822.2,576504.75,16818.822,64
AK,2020,14263438.38,13728015.700000001,518053.75,17368.93,63
AK,2021,14240136.934,13661204.7,561698.0,17234.234,61
AK,2022,14359970.09,13819850.7,522819.0,17300.39,60
AK,2023,14212704.844,13688867.9,506745.75,17091.194,136
AL,2010,101858388.012511,98260201.219496,2908518.234925,682934.5580900001,154
AL,2011,111170684.13408001,98957019.597,11211161.425,694261.924,168
AL,2012,102946241.36055,91750621.032,10322175.900150001,609006.806,177
AL,2013,101897944.04980001,90487699.568,10678665.675,457384.406,177
AL,2014,104082766.40456,92758402.432,10480681.5,531481.212,179
AL,2015,98214178.352244,87574156.1301,9908382.0825,468608.8442,177
AL,2016,89541826.18166,79960747.10000001,8745029.225,533465.296,176
AL,2017,85042070.541572,74889630.4,9289756.4,440893.682,176
AL,2018,88098505.324172,77522391.0,9754721.075,355096.204,179
AL,2019,81563922.844432,71404104.3,9145142.075,339959.294,178
AL,2020,73795752.916324,64101758.6,8910358.475,338395.39,174
AL,2021,78488376.41196,69577806.3,7897090.925,411170.566,172
AL,2022,79688549.211796,72009749.6,6702292.15,411760.308,168
AL,2023,72030311.522168,64758548.1868,6316899.5945,361374.938244,365
AR,2010,41939225.621127,39403998.103704,1838045.520925,697181.996498,119
AR,2011,46250139.41984,42612385.976,2483317.05175,1093368.4680899999,147
AR,2012,47297852.486696,43802923.328182,2522149.1375,915016.4330140001,146
AR,2013,47049180.596,44234556.4,2204680.75,548837.626,153
AR,2014,46960151.33,43943277.699999996,2156735.0,800511.4400000001,155
AR,2015,37737351.686,34839051.3,2218907.0,609533.074,158
AR,2016,39005972.182000004,36612495.6,2156200.5,175476.108,96
AR,2017,41102324.252000004,38744314.9,1862358.0,425517.18,97
AR,2018,47327666.921000004,44862114.4,1901172.5,477861.178,99
AR,2019,42081922.8512,39829349.3,1977265.5,207152.912,101
AR,2020,32751577.682,30454127.0,2037268.25,153839.818,100
AR,2021,39680572.849,37378815.0,2008588.0,209531.25,97
AR,2022,40881588.346,38590145.2,1982972.5,235107.1,95
AR,2023,37765105.63125312,35443068.09250788,2100382.5031239525,208640.18962129514,282
AZ,2010,61228865.679366,58918038.091809,1436684.263575,874143.323982,78
AZ,2011,59784701.361716,57232603.809,1605468.0847,687993.792,89
AZ,2012,59572653.85767,57048451.487017,1724807.31345,608855.793308,89
AZ,2013,61995309.319073,59408477.3,1735299.25,624024.218,87
AZ,2014,61797472.852095,58755286.4,1968258.0,663838.508,92
AZ,2015,58510623.776217,55579108.0,1884863.0,639929.968,90
AZ,2016,52793422.303241,49948735.9,1885550.25,552250.62,90
AZ,2017,52159427.339884,49578091.0,1713455.0,432543.424,89
AZ,2018,55830340.8765374,52851527.3,1701629.0,756805.27,89
AZ,2019,51657551.110412,48795787.7,1793616.75,638333.5819999999,91
AZ,2020,43507354.386198,40957922.4,1460826.75,562444.008,90
AZ,2021,42254463.920369,39679040.8,1475579.0,493812.522,89
AZ,2022,40437720.535218,37729909.1,1620891.5,575689.512,89
AZ,2023,41985085.759513,39371424.6,1698509.75,518766.148,191
CA,2010,110200169.71418923,101943824.58117186,8095220.013456346,161125.11956102832,462
CA,2011,103318459.77286182,94108356.6189086,8743949.641928962,185039.56128076682,484
CA,2012,114487051.8499935,105236785.765945,8826479.938825,206271.089174,495
CA,2013,114435084.6350495,105996555.59200001,8014938.625,200789.122,493
CA,2014,116384797.0829434,108033545.648,7909775.325,172596.534,490
CA,2015,112455017.970751,104370306.8,7637443.25,182576.554,457
CA,2016,97751237.2713107,91130747.3,6308105.75,142638.892,421
CA,2017,93919193.8288377,86901395.4,6761372.75,126803.768,403
CA,2018,95511235.4979059,88642494.3,6597851.0,129762.61,399
CA,2019,91463393.789501,84486788.5,6773278.5,123738.838,384
CA,2020,90327489.623786,83280179.4,6850177.75,115419.572,378
CA,2021,91955083.83659591,85209067.7,6527914.75,119000.936,370
CA,2022,91415773.1550743,84664470.3,6530535.25,120562.754,365
CA,2023,90483453.6121253,83231653.9,7090046.9,112188.06,916
CO,2010,50586826.623943,48945134.65929,1446017.331425,195674.633228,139
CO,2011,54317175.181527,48979702.382,4718740.416275,189777.179852,150
CO,2012,53799188.063415,49126286.032494,4179613.120675,192639.545246,155
CO,2013,52406556.270045996,48853189.868,3057549.075,189820.04,156
CO,2014,52062303.17098,48336309.908,3015215.65,186149.57400000002,160
CO,2015,51253681.676748,47681018.12264,2851404.54575,184874.62868,159
CO,2016,47526694.236875,44416947.4,2414741.0,174496.582,120
CO,2017,46474289.054284,43587009.2,2251192.0,170447.656,114
CO,2018,45273728.049258,42506201.300000004,2160980.5,153697.37399999998,115
CO,2019,45015352.430993,42185048.1,2314383.5,150040.91400000002,113
CO,2020,39870589.376263,37656936.0,1835272.25,125022.92,113
CO,2021,41521898.119537,39334338.9,1782371.25,140377.668,115
CO,2022,40641779.568764,38786965.0,1500124.5,132926.17799999999,116
CO,2023,37798968.158522,35923502.5,1570826.0,117771.686,309
CT,2010,10307078.672125,9979775.1,278595.770125,48707.802,46
CT,2011,8832952.020373,8630389.9,166630.740275,35931.380098,49
CT,2012,9039496.826327,8876929.7,126773.936875,35793.189452,50
