state,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY
AK,1.0,-0.6375189123153459,0.22907960230649518,-0.3599060762650849,-0.3202268040675477,0.7329103457319186,0.8722358634311611,0.8731608414996624,0.9076215166478752,-0.7560905890026574,-0.7802334273835269,0.931893386873166,0.9396140801537225,-0.23742839637073485,0.6010322027367536,-0.6669729026895641,-0.6650727695818409,0.04112052180985007,-0.6056106150611107,-0.7303864280630575,0.9121411584190335,0.9219774610058676,0.578469793328348,-0.39904268918348434,0.7751071202532565,-0.4748629442634476,-0.4099267885667886,0.26324097407325436,-0.3083989552809284,0.09775677863828736,0.7315089830539963,0.7459331194967205,0.9699638757046352,0.9180454144734961,0.6880113610327099,0.6063099590453547,-0.7062382007263515,-0.5173171974653012,0.6788969836375895,-0.6157559698895333,0.3039811637582179,0.9213425595257116,0.8103613360896132,0.9699968700231579,0.3461592071660346,-0.7194642085360612,0.2121070124982477,-0.04546566727587517,0.7059877194259426,-0.02579327799967593,0.699718492766833,0.5912906804549006,-0.5232129864858981,-0.0447718842183931
AL,-0.6375189123153459,1.0,-0.621237376567474,-0.14064292155577748,0.5687852596427058,-0.12323471811022325,-0.8338900647720824,-0.7720164119736248,-0.5969994145094537,0.21631406431441344,0.8934718146301714,-0.7878249249216422,-0.7320711291984492,-0.4916472940721466,-0.12269247952583197,0.7930529056870954,0.5225419146253406,-0.5741498923403648,0.46294504089593047,0.284901187202648,-0.812222660207734,-0.6003414045747298,-0.44986782992229596,0.6189169443382371,-0.756924349103606,-0.0013056866132572854,-0.16636479275726984,-0.39558252752941103,0.8343063942536707,-0.28804499201350753,-0.6985302894753764,-0.30087008487163963,-0.5480101700308917,-0.5687930863033391,-0.6709772458374701,-0.29784145267827544,0.576198580450849,-0.12294804662747051,-0.3524344706047225,0.89568938182425,-0.08610991995389233,-0.7126627313444557,-0.4978649592262048,-0.6863628303838928,0.4296341509218043,0.5376934764329313,-0.3555731981203754,0.6507859900385182,-0.7315301704088927,0.09929997905551277,-0.6023423070623675,-0.6581649631053776,0.9538967005986586,-0.31358345854961384
AR,0.22907960230649518,-0.621237376567474,1.0000000000000002,0.04542086299324009,-0.4020564535480895,-0.31926427017685916,0.40807112464848133,0.39274644171509876,0.19906569049614384,0.1923226486055506,-0.27908908836643287,0.39605310602107613,0.3683565595874968,0.7854983659972875,0.1971914880616463,-0.6373720700916788,-0.6618579273435274,0.9678895764376387,-0.6910527230092431,-0.06213134348890367,0.4750275576212459,0.24480860880403155,0.6529013369128175,-0.6421425076652483,0.21575925207841676,-0.2027319338892799,0.7619858406133139,-0.02073257986166613,-0.8079370511930956,-0.14415323941819727,0.18725309793916964,0.28131446933805687,0.20898499250893127,0.07767834438423381,0.1108092802777236,0.12899485684196202,-0.5573359597904083,0.6602018992639002,0.3896163791480356,-0.6062040922632786,-0.18256508099309945,0.23329823986833143,0.01219150869120431,0.40893651832207,-0.47392257601605814,-0.4515277190989886,-0.0931797071077625,-0.27797287447923197,0.24869019059796205,0.15100069205806446,0.6624592951652132,0.06015843475542832,-0.5576603633392662,-0.13776295263149738
AZ,-0.3599060762650849,-0.14064292155577748,0.04542086299324009,1.0000000000000002,-0.5692043160479938,-0.4989544596790722,-0.05576485595359761,-0.24465415679437874,-0.02807636837376293,0.3839514444038442,-0.15056586271739125,-0.14674055910747805,-0.06467012253228727,0.3324994454421582,-0.6857109306922107,-0.16750455833791805,0.4917445856601148,0.2396071551443485,0.6202055952992761,0.016623373923866397,-0.3029635707639367,-0.06813036436332766,-0.44657337150755283,-0.279926917639744,-0.11832306194638824,0.9405971245899026,0.28283076586847117,0.7712769725374079,-0.017421933310219146,0.8379344519224293,0.35448737696872207,-0.5277121935657791,-0.5477315438721703,-0.045927075510045504,0.38828094782438216,-0.7909948295781059,0.084262379061734,0.22743154168131174,-0.5473155661681495,-0.30212015764002553,0.49026058281899837,0.013967049482515167,0.13219529652991183,-0.41288601266382186,-0.3779315705633213,-0.057158894726862315,0.7884707800539577,-0.6398071590035851,0.3532855499804914,-0.38353330627566923,-0.43632605818249287,0.14000220164028337,-0.10168564844977958,0.862585997457805
CA,-0.3202268040675477,0.5687852596427058,-0.4020564535480895,-0.5692043160479938,1.0000000000000002,0.263142766645711,-0.4487744468542756,-0.3257761041084033,-0.6095969551764504,-0.07277529290543668,0.5528478696243238,-0.4853697020621959,-0.602393260002781,-0.258157928065006,-0.07881464211040956,0.8359332181431702,0.2963921198034004,-0.47705878671757607,0.07228975070342963,0.5452971327962398,-0.3119123649539104,-0.5653874017991178,-0.3626408699766955,0.8928768014320724,-0.12155600447685584,-0.3353119457923796,-0.3085798722795486,-0.6764683819725312,0.39854037727553376,-0.5712424868519653,-0.6349848521329812,-0.29812040655966626,-0.156323738993738,-0.4374408659480028,-0.61098366249392,0.4868787161649245,0.6908511335876639,-0.11368187676091654,-0.2850414366233712,0.8398716099847496,-0.6110315124493436,-0.5806372097771553,-0.46696662523126703,-0.3638511922565153,0.20555961716570165,0.7378911070053328,-0.6427939552758103,0.4196614423075463,-0.6473291039973686,-0.06935308922162235,-0.35460952527172507,-0.12709447037326432,0.3666215791642862,-0.4532834544783159
CO,0.7329103457319186,-0.12323471811022325,-0.31926427017685916,-0.4989544596790722,0.263142766645711,0.9999999999999997,0.4871847625094546,0.5034796705090161,0.5739322742027065,-0.9332357489104501,-0.431720479033119,0.5205609472263012,0.5278577174879656,-0.6674833942906144,0.42580862373786416,-0.03970222105234487,-0.1812858363154783,-0.5255412333235062,-0.20721813981640044,-0.5336055940467853,0.5353499027617,0.6055759162327768,0.11837315037258203,0.27125487633559064,0.6394917093343618,-0.42667382296961537,-0.8387125664402052,0.09760186299826921,0.27266477964871894,0.03751202768708634,0.4512481909899968,0.46174077862243174,0.7688365805028052,0.7382190975977464,0.4309209464963856,0.7090116974401356,-0.16001764708191116,-0.8614151954043219,0.34219627658023055,-0.011154523139317734,0.2267035744127365,0.5689629619147769,0.688561686996047,0.5900120638712526,0.6903645541984609,-0.23505883988763335,0.09666050705309981,0.22244414022161627,0.35683175657246746,-0.1798674943274538,0.2328272811096147,0.5598213089410757,-0.1116355892226552,-0.06631980785264245
CT,0.8722358634311611,-0.8338900647720824,0.40807112464848133,-0.05576485595359761,-0.4487744468542756,0.4871847625094546,1.0,0.9730960645730381,0.7874728514657784,-0.544523068548471,-0.9060974137722057,0.9811773364493127,0.9021539926022539,0.14052529716219672,0.20338601817635674,-0.6983175921573265,-0.5344610613326236,0.2952284163663818,-0.5017190813745671,-0.5388107333236337,0.9587447896521065,0.7951503309482129,0.40700399869177645,-0.4525989647215247,0.9010748180912297,-0.17861971065773705,-0.19007172032069636,0.4383963900698279,-0.5774193517316764,0.3017402854314648,0.8399656712198321,0.406207125139334,0.7707745534275346,0.8183651233928004,0.828984017253503,0.45003992549365496,-0.5944908515955587,-0.2542149395453176,0.39281899596688763,-0.7287196130377437,0.17279699227577716,0.9214703833832485,0.74156091169473,0.8671700146732433,-0.07622812174397715,-0.6270376520552959,0.38524063347355436,-0.4940084665320447,0.8873172881313738,-0.27611667762621,0.584340509567298,0.787566176240453,-0.7881273275066182,0.24972492564350612
DC,0.8731608414996624,-0.7720164119736248,0.39274644171509876,-0.24465415679437874,-0.3257761041084033,0.5034796705090161,0.9730960645730381,0.9999999999999998,0.7128190683791652,-0.529490911602397,-0.8219598422485438,0.9677522518025609,0.8472856189016515,0.12500088602558435,0.2790339779207496,-0.614751990434214,-0.5913306486176932,0.2611099341732598,-0.6052695541341874,-0.45891786054991657,0.9755666040346179,0.7229824800009661,0.45356190703499527,-0.3741397300036606,0.8766525771469557,-0.34241532593640456,-0.1989973816746627,0.2384122780090389,-0.5959934487487316,0.10079099828898738,0.7047921914012073,0.44129704312393453,0.8043104518582109,0.7399304839706343,0.6975241181688319,0.5557921539930796,-0.5502952768737734,-0.2311039511043942,0.4387654230955832,-0.6225939121390113,-0.0035669152397841035,0.856283584197658,0.625525511969481,0.8932800407145255,-0.07780024902568314,-0.5455883675600495,0.18398772862301702,-0.39432350062327687,0.7739488877274635,-0.21825762683115102,0.6188683669493625,0.7205361331537993,-0.7550391690190372,0.06743547445484085
DE,0.9076215166478752,-0.5969994145094537,0.19906569049614384,-0.02807636837376293,-0.6095969551764504,0.5739322742027065,0.7874728514657784,0.7128190683791652,1.0,-0.660650426685569,-0.7773982995889254,0.861288687274791,0.9683761057835157,-0.2719064483667996,0.5263335535964337,-0.8014169566293862,-0.5660890365203678,0.07081013671332125,-0.39555537451329786,-0.8925984070836145,0.7500587978477545,0.9942225286700765,0.5291468377877949,-0.6052676222804051,0.6000263504824519,-0.20636534070004478,-0.33215745596537843,0.5569911745643015,-0.18855987022496795,0.3883770592318577,0.8533071118710873,0.727013480903354,0.8216138389442185,0.9574288898361986,0.806468617894158,0.2500092316018613,-0.8175812884833656,-0.5203275114527074,0.6350442818136648,-0.7435857631571006,0.6525758083786675,0.9561570391665632,0.9141266542168808,0.8559488403291804,0.392773907385077,-0.8872822505603868,0.5071876887133084,-0.08422487688751039,0.8013036989828165,-0.003873201020406328,0.6140024407244596,0.48427873823600914,-0.39717216819844087,0.18073856160166976
FL,-0.7560905890026574,0.21631406431441344,0.1923226486055506,0.3839514444038442,-0.07277529290543668,-0.9332357489104501,-0.544523068548471,-0.529490911602397,-0.660650426685569,0.9999999999999997,0.532411668605146,-0.5832698688978698,-0.6253207329754195,0.6055097197668466,-0.45211022599485645,0.19818471524143336,0.2386650247025621,0.38099315537002887,0.18639198803940604,0.708689957851568,-0.5800723752292346,-0.6993446135609513,-0.2715112119561189,-0.08848976094930694,-0.6324400769844796,0.384165504559858,0.7162939623411528,-0.21030142374780253,-0.21182235435302119,-0.128138690098764,-0.5496416487672673,-0.5248928149224417,-0.7841367229317296,-0.7967710571115543,-0.5087343024048858,-0.5974576055493859,0.3118002209415603,0.8297375807630557,-0.4579591281658803,0.16052831783354118,-0.33201064134346603,-0.6369490954688791,-0.7598708382517966,-0.6392975012738914,-0.647542991542721,0.40006359817579046,-0.21451465188170513,-0.1653805055368605,-0.44763830720055103,0.022045032969843864,-0.37720122082626817,-0.5429134582391897,0.1562942211519165,0.0021051830648163984
