sector,Chemicals,"Chemicals,Coal-based Liquid Fuel Supply,Suppliers of CO2","Chemicals,Industrial Gas Suppliers","Chemicals,Industrial Gas Suppliers,Minerals","Chemicals,Industrial Gas Suppliers,Waste","Chemicals,Natural Gas and Natural Gas Liquids Suppliers","Chemicals,Other,Petroleum Product Suppliers,Power Plants,Refineries","Chemicals,Other,Petroleum and Natural Gas Systems,Waste","Chemicals,Other,Power Plants","Chemicals,Other,Refineries,Suppliers of CO2","Chemicals,Petroleum Product Suppliers","Chemicals,Petroleum Product Suppliers,Power Plants,Refineries","Chemicals,Petroleum Product Suppliers,Power Plants,Refineries,Suppliers of CO2","Chemicals,Petroleum Product Suppliers,Refineries","Chemicals,Petroleum Product Suppliers,Refineries,Suppliers of CO2","Chemicals,Petroleum Product Suppliers,Refineries,Suppliers of CO2,Waste","Chemicals,Petroleum Product Suppliers,Refineries,Waste","Chemicals,Petroleum and Natural Gas Systems,Refineries","Chemicals,Power Plants","Chemicals,Power Plants,Refineries,Suppliers of CO2","Chemicals,Power Plants,Suppliers of CO2","Chemicals,Power Plants,Waste","Chemicals,Refineries","Chemicals,Refineries,Suppliers of CO2","Chemicals,Refineries,Waste","Chemicals,Suppliers of CO2","Chemicals,Waste","Import and Export of Equipment Containing Fluorintaed GHGs,Industrial Gas Suppliers,Other","Import and Export of Equipment Containing Fluorintaed GHGs,Other","Industrial Gas Suppliers,Minerals","Industrial Gas Suppliers,Other","Injection of CO2,Natural Gas and Natural Gas Liquids Suppliers,Petroleum and Natural Gas Systems","Injection of CO2,Natural Gas and Natural Gas Liquids Suppliers,Petroleum and Natural Gas Systems,Suppliers of CO2","Injection of CO2,Other,Suppliers of CO2","Injection of CO2,Other,Suppliers of CO2,Waste","Injection of CO2,Petroleum and Natural Gas Systems","Injection of CO2,Petroleum and Natural Gas Systems,Suppliers of CO2","Injection of CO2,Power Plants,Suppliers of CO2",Metals,"Metals,Minerals","Metals,Power Plants","Metals,Waste",Minerals,"Minerals,Waste","Natural Gas and Natural Gas Liquids Suppliers,Other","Natural Gas and Natural Gas Liquids Suppliers,Petroleum Product Suppliers,Petroleum and Natural Gas Systems","Natural Gas and Natural Gas Liquids Suppliers,Petroleum and Natural Gas Systems","Natural Gas and Natural Gas Liquids Suppliers,Petroleum and Natural Gas Systems,Power Plants","Natural Gas and Natural Gas Liquids Suppliers,Petroleum and Natural Gas Systems,Suppliers of CO2","Natural Gas and Natural Gas Liquids Suppliers,Power Plants",Other,"Other,Petroleum Product Suppliers,Power Plants,Refineries","Other,Petroleum and Natural Gas Systems","Other,Power Plants","Other,Suppliers of CO2","Other,Suppliers of CO2,Waste","Other,Waste","Petroleum Product Suppliers,Petroleum and Natural Gas Systems","Petroleum Product Suppliers,Power Plants,Refineries","Petroleum Product Suppliers,Power Plants,Refineries,Suppliers of CO2","Petroleum Product Suppliers,Pulp and Paper,Waste","Petroleum Product Suppliers,Refineries","Petroleum Product Suppliers,Refineries,Waste",Petroleum and Natural Gas Systems,"Petroleum and Natural Gas Systems,Power Plants","Petroleum and Natural Gas Systems,Suppliers of CO2",Power Plants,"Power Plants,Refineries","Power Plants,Suppliers of CO2","Power Plants,Waste",Pulp and Paper,"Pulp and Paper,Suppliers of CO2","Pulp and Paper,Suppliers of CO2,Waste","Pulp and Paper,Waste",Refineries,"Refineries,Waste",Unknown,Waste
Chemicals,0.9999999999999998,-0.4270642943561336,-0.12048597359524685,-0.20234189583474227,-0.13486478322423795,-0.19761375372961965,-0.32769741423745885,-0.3611597923529382,-0.4659399260916864,-0.288701268647456,-0.3738309650388479,-0.29293886383847983,-0.37367525829000287,-0.21781201555949728,-0.43890830256077845,-0.3633797967852214,-0.523001126975151,-0.26063006628394964,-0.4329266875336228,-0.44781218971758807,-0.440612330570081,-0.4571153131564311,-0.3635132377560475,-0.40023579490149813,-0.34443199173480876,0.8274055566914343,0.6300918062243679,-0.10690474415237164,-0.17283627141911512,-0.19540831142030912,-0.16231829949693138,-0.2282942860817729,-0.2635812381117585,-0.2020058236799383,-0.3351606295036872,-0.2707183524507075,-0.27941281967979625,-0.2518866155210465,0.0012464565126795192,-0.2790596672126565,-0.2849668500449324,-0.47515690260932103,0.15376013619803375,-0.21433957063232809,-0.1916976168336306,-0.25590925281525273,-0.20510020654909494,-0.3995794039964111,-0.19792448097888982,-0.1841626650389982,0.08401355031265147,-0.2693929282037937,-0.21394039253730504,-0.38503749921680097,-0.18394929933853352,-0.20814955397819224,-0.17678873990039126,-0.19820225680036993,-0.260595140896719,-0.39861739079293734,0.014473953065059804,-0.07979387973927664,-0.3013312642560621,0.13677107494692334,-0.3662916817721438,-0.27862204679985636,0.4676466502633622,-0.2661679855837097,-0.28298340000481953,-0.2508981580373697,0.18942228349097634,-0.03345597124819818,-0.20728407356194073,0.08619292886828588,-0.25290619773747036,-0.27164613466999643,-0.0013086480827329526,-0.0059824440088165195
"Chemicals,Coal-based Liquid Fuel Supply,Suppliers of CO2",-0.4270642943561336,1.0,-0.4296029551123608,-0.3326640924102958,-0.3732118576730016,0.16608982146656076,0.8932450532557333,0.863772536725432,0.6805548240707829,0.8339669275421964,0.6533548421464332,0.8445602148651205,0.9602342605623343,0.6016480051900747,0.9509124874648858,0.9402480379940162,0.9020349932905285,0.29520922578518843,0.9986938571372672,0.9441863229637065,0.8892445925866407,0.9371958945192077,0.6099359639210268,0.9909997601115488,0.9056939671717122,-0.3914374597131521,-0.41861290810004487,-0.45306443623473613,-0.3928200047200309,0.15909465971662287,0.10279018524915193,0.12501333744638488,-0.30605874159050056,0.1769454875168882,0.9090157272969168,-0.15969625040893806,0.2104398565486228,0.7839940152674897,-0.2172958769595321,0.8233673133022076,0.8249992933738378,0.1992415788633307,-0.2862403207859448,-0.43929549465777834,0.15096175301135206,0.1441445688211309,-0.14325480645776245,0.7010934888739194,0.16685559306669656,0.13125603455202697,-0.6511669676182005,0.797295828219559,0.09795298331714172,0.7778656648887373,0.1383864217943358,0.1364917828896768,-0.5438323193095843,0.16897236509597005,0.7871434371470551,0.9839366660476577,-0.573874362172683,0.22760503903169862,0.36576707912755335,-0.4680015355521923,0.6327717775688789,-0.15829100337246335,-0.39048838921091733,0.7930799987299462,0.8634983046625527,0.8560810612727033,-0.24391782643141588,-0.1599519544039274,-0.4304343893643921,-0.7012697212297954,0.3053054420133657,0.23699667925452364,-0.582728846980321,-0.5878884263937246
"Chemicals,Industrial Gas Suppliers",-0.12048597359524685,-0.4296029551123608,1.0,0.8468627981398668,0.9899168501443607,-0.14555344921821722,-0.3511741377357382,-0.3234188176123034,-0.32624433427015936,-0.31377702366160487,-0.3471044981056434,-0.3252116136462274,-0.39319975054873774,-0.5087277101244723,-0.4578784846541046,-0.38007215434562175,-0.39933566894948896,-0.1979304535986233,-0.434764280332025,-0.4295667052310802,-0.42002827691633815,-0.42923844715099313,-0.344795446357987,-0.4435398660692883,-0.3579031154170037,-0.038564850131207334,0.07303904743935402,0.9994955598950167,0.9343552619706899,-0.14340542939754528,-0.13222115860242564,-0.11858126326050954,0.1624562921580266,-0.15009988596558624,-0.3644726126985379,0.054775048593364364,-0.16257247284450999,-0.2930395460363466,-0.17192215811698916,-0.3116296615033783,-0.2894215727616608,0.04261093874496823,-0.2498052945184309,0.2524243801186426,-0.140649261945527,-0.11897352154823304,-0.09119542687498021,-0.35372852924826076,-0.1458701508309095,-0.14127471979730127,0.09015892342668523,-0.29418514791675027,-0.10710683592765746,-0.43184199432045917,-0.16277031762385535,-0.15072787091184817,0.15571832145014006,-0.15005397961390216,-0.2916722680228079,-0.4088344431010899,0.2612640353380277,-0.3910858668015517,-0.22542288845686456,-0.08624333858192312,-0.343358898217432,0.05442886726602829,-0.1385657829246811,-0.2918515031346543,-0.3526052880889145,-0.38160100869113883,-0.1888495735836751,-0.029829082839664504,0.21490551167799093,0.21669575585890627,-0.23070845542662663,-0.16725594892410178,0.8569029109300054,0.1421597268865304
"Chemicals,Industrial Gas Suppliers,Minerals",-0.20234189583474227,-0.3326640924102958,0.8468627981398668,0.9999999999999998,0.7732456599933428,0.4020009127228008,-0.5057295624247412,-0.5027557007282157,0.11835387952740925,-0.5298573416546006,0.12445532189689774,-0.5310885808955711,-0.4487497726326142,-0.12130658377044343,-0.20139639289777728,-0.4706976974451523,-0.10994532135507676,0.3454834202336241,-0.3108332874640336,-0.16295989669153588,-0.10001653227711525,-0.1516456010344359,0.14240177369881296,-0.40347507320691545,-0.49640873610756353,-0.149737162731333,-0.09630763580500683,0.8525860217820568,0.9805916133192715,0.4042519319955971,0.4085023006186478,0.4245386389463233,0.4393194058851124,0.39749019123195894,-0.49669306778964006,0.48064163385506115,0.37931247022299497,-0.5499301800546554,0.1261208941710526,-0.5375143259130107,-0.5139121681099785,0.5139758019454544,-0.058221503690738356,0.29613917597249223,0.4068569609186798,0.4200864876754101,0.3971528462424737,0.09839558225146147,0.4016887042717731,0.40425445336578886,-0.11684135610667344,-0.5416749876628725,0.43520830247848596,-0.01909584738526001,0.38413194806496237,0.39652317568256423,0.32247903300417263,0.3977525907544428,-0.5471961287553927,-0.4064522105141794,0.184025086499428,0.07785412250353677,0.31052690151802487,-0.1726431267097311,0.13512322368199758,0.4744621442135762,-0.30239022687719547,-0.5425854673077538,-0.5364154698744504,-0.5631910976411555,0.25987296678458505,0.3369409520002712,0.3659525918298261,0.18825007141470107,0.3136888282561194,0.3757702018618149,0.6474938184907959,-0.08806988587516461
"Chemicals,Industrial Gas Suppliers,Waste",-0.13486478322423795,-0.3732118576730016,0.9899168501443607,0.7732456599933428,0.9999999999999999,-0.262131549321874,-0.24307416417170358,-0.2094443371381292,-0.3728298398414668,-0.19594817371342652,-0.4066021979433364,-0.20899727385509445,-0.3034762801992399,-0.5562782997845253,-0.44307918051132716,-0.28328111661493616,-0.3913249014068498,-0.30244038923893685,-0.38477544605632347,-0.417180851873282,-0.42393921832022,-0.4196347410245985,-0.4116331887409724,-0.3744842693110596,-0.25210605286306337,-0.03910903992201973,0.08393568722407704,0.9865026715867652,0.8803994422723617,-0.260450104996803,-0.2516297002755311,-0.23480045162238208,0.08899283969727446,-0.26582563968809203,-0.26016043410671585,-0.04712210416922602,-0.2715539271532449,-0.1694936825782876,-0.27357472384158205,-0.19268668662400842,-0.1707057476102686,-0.04850478222703188,-0.3315304672504845,0.22675081414638534,-0.2584456297730277,-0.23171581229188376,-0.21565872509795098,-0.404751391985297,-0.2623883587192533,-0.2594403354808735,0.08967148551494894,-0.17166282031449642,-0.22559518300734005,-0.4670440840996779,-0.2826088218069093,-0.26797421712096436,0.08757047073633932,-0.26657215433655235,-0.16815745753236613,-0.33088476738733175,0.25020013504086874,-0.4894427583199333,-0.32171001958483025,-0.11274271595234933,-0.40588198521088287,-0.04566380746939654,-0.13865033423187803,-0.16890645404886476,-0.24019817827612824,-0.2700665202094715,-0.31811632950319596,-0.12425968640585894,0.1645513758610558,0.18723274471248436,-0.33542091412352093,-0.27438627069992416,0.8431695006992473,0.1594148535977952
"Chemicals,Natural Gas and Natural Gas Liquids Suppliers",-0.19761375372961965,0.16608982146656076,-0.14555344921821722,0.4020009127228008,-0.262131549321874,1.0000000000000004,-0.2937736398225208,-0.3371617748747828,0.8066260625840007,-0.4048675658515311,0.85291693980163,-0.38718140787716615,-0.1134621982158372,0.6742100612933679,0.4541662850634282,-0.17749728172033657,0.5197784687197814,0.9902489758958252,0.2149763971936926,0.47599350582731864,0.5715311581310972,0.4962930390283836,0.8808001692947384,0.05803196934314357,-0.26472977680830284,-0.2479041594270049,-0.34124740613881355,-0.13570391385000255,0.21506779203689164,0.9998819402672793,0.982963526718685,0.9928248986966945,0.5173368403400221,0.9999392604111608,-0.25440741814172446,0.7857220629432391,0.9891177491106812,-0.48028058310048277,0.5289582015261007,-0.42282824349967063,-0.41746455647840375,0.890884583064644,0.3162613737350814,0.09131482936254513,0.9998722934839259,0.9862980212940928,0.8861393556489288,0.8193179760073213,0.9999996982992553,0.9929614947687729,-0.3976541806461166,-0.46197285892284234,0.9921223584244406,0.7371138671345998,0.9959121179372332,0.9955895966516648,0.3033930745476477,0.9999435023794464,-0.47695185437505616,-0.007474419590083939,-0.14896060938138012,0.8254609327474455,0.9753918619933045,-0.1836196245403242,0.8647771946455562,0.7750143205171804,-0.33682778182100936,-0.46792971648499315,-0.3500131775365837,-0.3507551422076356,0.7881064860672299,0.6520767205688942,0.2809933500228149,-0.06510916837493684,0.9882920013035195,0.9903326047381006,-0.2734167499569968,-0.43542955631006525
"Chemicals,Other,Petroleum Product Suppliers,Power Plants,Refineries",-0.32769741423745885,0.8932450532557333,-0.3511741377357382,-0.5057295624247412,-0.24307416417170358,-0.2937736398225208,0.9999999999999999,0.9919033529033476,0.2964221198581635,0.9928613514047453,0.24674252647140268,0.9950141886846532,0.9829449148894798,0.2691293940156965,0.7150339773141566,0.9928313233595221,0.6413198721888039,-0.1628946541365287,0.87007128854091,0.7001639788328419,0.606365890561039,0.6838018382985207,0.19074145904168624,0.9336532313356267,0.9993323266015052,-0.25325251037093993,-0.23139966355635788,-0.378155973977586,-0.47941558538269696,-0.30008520704965985,-0.3427235414476132,-0.32845073347462517,-0.5229034546086664,-0.28322818419736545,0.9984597088343767,-0.5058739184180415,-0.24501332123104141,0.9792585587585421,-0.4672275334003702,0.9900984397506676,0.9905022512863516,-0.2103888942056991,-0.4390524644233801,-0.4561901468730609,-0.3083397459062676,-0.30685124036182004,-0.5439847848323364,0.3070540735563394,-0.29303124115923196,-0.32106722487608014,-0.45881470013080217,0.9833780462913683,-0.35503182035554387,0.4201230730332318,-0.31990360190723766,-0.3178073619772849,-0.6604856041601567,-0.2909143021959561,0.9802399047268652,0.9578977971670048,-0.4623167854686742,-0.163970094689452,-0.08687070483045782,-0.3852375250568326,0.2220463913433845,-0.4996756657952707,-0.24073293670616314,0.982135177596326,0.9967757443894553,0.9891391481435492,-0.593265704199209,-0.4305345219481435,-0.5285432892847889,-0.6381784606765307,-0.15326463697636322,-0.2177596383835143,-0.4483392090423817,-0.37424800834443506
"Chemicals,Other,Petroleum and Natural Gas Systems,Waste",-0.3611597923529382,0.863772536725432,-0.3234188176123034,-0.5027557007282157,-0.2094443371381292,-0.3371617748747828,0.9919033529033476,1.0,0.2708457826514089,0.9905612789504169,0.19594863701019336,0.9911438572976157,0.9646908063020943,0.2063655026244401,0.6729927568267378,0.9793193437691519,0.6233608809019676,-0.20676475916921025,0.8383761481906088,0.6590736521857539,0.5600236238815387,0.645188774065854,0.14096877508922004,0.9057733173041448,0.9918352618167547,-0.2902504921685051,-0.2595267669641693,-0.34987336303213656,-0.46689590230878364,-0.3436293265829678,-0.39225113234117126,-0.35815911392167005,-0.44877458041324436,-0.32686643094821416,0.986954351374789,-0.4703226527072196,-0.27293474205410484,0.9792367351190525,-0.517886451067542,0.9878378567977821,0.9869775035610289,-0.20259558782843337,-0.48826487073621744,-0.3480534815574122,-0.3515804781532033,-0.330297645314786,-0.5499482675872767,0.260762344257175,-0.336436652023758,-0.36721129489774146,-0.4060425003495414,0.9849754052067395,-0.3843497632950592,0.36902922628599905,-0.3664391650898903,-0.3569939873348345,-0.5779014178053018,-0.3350782702429433,0.9819820977041394,0.9351518041919312,-0.40243527400915224,-0.22858583211662728,-0.12852629482712138,-0.3867965502392557,0.17086875042493163,-0.4616585228397847,-0.2588961416314201,0.9837031384923172,0.9874792863188356,0.9786323546454077,-0.6566536745138284,-0.4733179122871456,-0.4420926457463378,-0.5446063736414777,-0.20092310452065396,-0.25158981350244974,-0.42900006739340674,-0.2985506131904711
"Chemicals,Other,Power Plants",-0.4659399260916864,0.6805548240707829,-0.32624433427015936,0.11835387952740925,-0.3728298398414668,0.8066260625840007,0.2964221198581635,0.2708457826514089,1.0,0.18345826035561913,0.9766869291985326,0.20077264362429653,0.460647141821035,0.764022295096989,0.8553767360073482,0.40658162277687326,0.9214996774536915,0.8788562267843507,0.7150305861605708,0.8743627288355715,0.9151406548300841,0.8883995008587341,0.9702308929728108,0.5935643481846173,0.32832468646757007,-0.4445462806141798,-0.5041595960628159,-0.33138816114421604,-0.04839725908233869,0.8032181645670644,0.7589869533398392,0.8014065151544113,0.3474982410855566,0.8126847420893889,0.3340145539010407,0.5783488495167216,0.8493404609039618,0.10015249236502782,0.16548715775472117,0.16150230863106743,0.16820006974950336,0.8210365230635991,-0.04294884958667202,-0.00548881037755014,0.797850054182903,0.8171267619291503,0.5846566308250785,0.982678120620285,0.8070577972480201,0.7850095213372172,-0.6403211349842866,0.12345334632703238,0.7835441717402809,0.960599321873188,0.7799821479333959,0.798719179844173,0.0420798347033085,0.8073384700617746,0.10569906874635582,0.5504664599767864,-0.3016846418051093,0.651160025980269,0.9150195757535586,-0.45754337500552195,0.9746363576326084,0.5744293578621544,-0.5642242770155063,0.1166771235332763,0.23330998538832254,0.22365741822471386,0.37604466332966147,0.39981448600057923,0.12836646243247335,-0.3029907473925416,0.8749670586688245,0.8629641119804881,-0.5432195819755913,-0.5852162344714726
"Chemicals,Other,Refineries,Suppliers of CO2",-0.288701268647456,0.8339669275421964,-0.31377702366160487,-0.5298573416546006,-0.19594817371342652,-0.4048675658515311,0.9928613514047453,0.9905612789504169,0.18345826035561913,1.0,0.12998128802033693,0.999635136256078,0.9542407874048001,0.1687167821106565,0.6267995859822725,0.9715642323176157,0.5488476030343016,-0.27863841557804986,0.8056341805708334,0.6107059818220335,0.5085879491961587,0.5924723057908283,0.07265929404836073,0.8849800041791182,0.9885597590892573,-0.21420900953355027,-0.18255140649761475,-0.3408846174188118,-0.48119369502294196,-0.4109690351780872,-0.4505218339466007,-0.4372866299690411,-0.5645289061843156,-0.3947694075566011,0.9863063376527089,-0.5813186029992092,-0.3569735646910301,0.9960817481667685,-0.5116903037195772,0.9994725773494765,0.9991018029085511,-0.31149864858264287,-0.4595334501981291,-0.448098323667801,-0.4187803423010345,-0.41572960772378914,-0.6289950461203381,0.1922654165268447,-0.4041572252575469,-0.4307243943862509,-0.3850860166783859,0.9979623412514413,-0.46250482515416047,0.3090069651785558,-0.42904376363746,-0.42780950434435067,-0.6683418441149861,-0.40212274046184643,0.9967173441697881,0.9172303369408109,-0.4278121956564353,-0.2633912366782563,-0.204201706679211,-0.34098512424727473,0.10470568122169704,-0.5740344417576216,-0.19517701375988988,0.9975119683342591,0.9961950848359543,0.9880967503837409,-0.6651402747361839,-0.4966276089508749,-0.5419626414089984,-0.6030227713461627,-0.2695706920358373,-0.33128635596506495,-0.38843500133306585,-0.3005657264940657
